Fuel Type Code,Station Name,Street Address,City,State,Latitude,Longitude,Open Date
Ethanol Fuel,Evergreen FS Farmtown,1808 Morrissey Dr,Bloomington,IL,40.453057,-88.96696,1993-11-15
Ethanol Fuel,Phillips 66 - Sandy's,4545 Sandy Hollow Rd,Rockford,IL,42.223132,-89.027541,2019-08-30
Compressed Natural Gas,Springfield Mass Transit District,928 S 9th St,Springfield,IL,39.792275,-89.642936,1992-06-15
Liquified Petroleum Gas,Hicksgas,202 N Highway 54,Roberts,IL,40.61440510357647,-88.1762632023773,1999-07-08
Liquified Petroleum Gas,Blick & Blick Oil Inc,203 SE 5th Ave,Aledo,IL,41.200666,-90.74496,1999-07-08
Liquified Petroleum Gas,Ferrellgas,1242 S West St,Galesburg,IL,40.932053,-90.375206,1999-07-08
Liquified Petroleum Gas,United Fuel Co,536 N Ohio Ave,Rantoul,IL,40.316843,-88.157041,1999-07-08
Liquified Petroleum Gas,Rull Brothers Propane,214 Park St,Hardin,IL,39.158963,-90.617327,1999-07-08
Liquified Petroleum Gas,Thompson Gas,1431 N Illinois St,Swansea,IL,38.52876561460776,-89.98474233862305,1999-07-08
Liquified Petroleum Gas,Wade Sales & Service Inc,120 N 4th St,Breese,IL,38.610698,-89.534246,1999-07-08
Liquified Petroleum Gas,Harper Propane Service Inc,13079 N Shiloh Dr,Mt. Vernon,IL,38.315898,-88.971133,1999-07-08
Liquified Petroleum Gas,Southern FS,1114 N Marion St,Carbondale,IL,37.738458,-89.215318,1999-07-08
Liquified Petroleum Gas,Ferrellgas,10522 N 2nd St,Machesney Park,IL,42.371222,-89.032441,1999-07-08
Liquified Petroleum Gas,Pinnacle Propane,2100 N 12th St,Quincy,IL,39.956612,-91.394737,1999-07-08
Liquified Petroleum Gas,Boente Shell,543 W Main St,Carlinville,IL,39.279495,-89.888411,1999-07-08
Compressed Natural Gas,Gas Technology Institute,1700 S Mount Prospect Rd,Des Plaines,IL,42.018189,-87.922158,1995-01-15
Liquified Petroleum Gas,U-Haul,1560 Mount Prospect Rd,Des Plaines,IL,42.02364882070916,-87.92126835581973,2000-11-01
Liquified Petroleum Gas,U-Haul,2125 Dempster St,Evanston,IL,42.041376,-87.703147,2000-11-01
Liquified Petroleum Gas,U-Haul,2915 W 159th St,Markham,IL,41.600255,-87.688178,2000-11-01
Liquified Petroleum Gas,U-Haul,1700 N Cicero Ave,Chicago,IL,41.911872,-87.746203,2000-11-01
Liquified Petroleum Gas,U-Haul,4301 N Cicero Ave,Chicago,IL,41.958921,-87.74721,2000-11-01
Liquified Petroleum Gas,U-Haul,1650 E 71st St,Chicago,IL,41.766351,-87.583615,2000-11-01
Liquified Petroleum Gas,U-Haul,5027 W Cermak Rd,Cicero,IL,41.850832,-87.750927,2000-11-01
Liquified Petroleum Gas,U-Haul,1206 N Main St,Bloomington,IL,40.491139,-88.994306,2000-11-01
Liquified Petroleum Gas,U-Haul,306 E University Ave,Champaign,IL,40.116631,-88.23472,2000-11-01
Liquified Petroleum Gas,U-Haul,410 N Bruns Ln,Springfield,IL,39.806744,-89.685933,2000-11-01
Ethanol Fuel,Citgo,4070 N Clark St,Chicago,IL,41.956159,-87.663596,2000-08-15
Ethanol Fuel,Kean Brothers Oil Co,2632 W 111th St,Chicago,IL,41.691997,-87.687613,2001-01-15
Liquified Petroleum Gas,Hicksgas,415 S Division St,Braidwood,IL,41.25572,-88.226144,2002-01-11
Liquified Petroleum Gas,Hicksgas,2526 N Water St,Decatur,IL,39.869986,-88.954648,2002-01-11
Liquified Petroleum Gas,Hicksgas,1625 S Schuyler Ave,Kankakee,IL,41.101504,-87.869992,2002-01-11
Liquified Petroleum Gas,Hicksgas,200 E Grand Ave,Lake Villa,IL,42.416937,-88.078716,2019-09-23
Liquified Petroleum Gas,Hicksgas,2904 E 24th Rd,Marseilles,IL,41.354657,-88.703976,2002-01-11
Liquified Petroleum Gas,Hicksgas,6792 E 1700 N Rd,Oakwood,IL,40.114198,-87.8125,2002-01-11
Liquified Petroleum Gas,Hicksgas,1005 Interlake Dr,Pontiac,IL,40.886754,-88.644287,2002-01-11
Liquified Petroleum Gas,Hicksgas,2201 E University Ave,Urbana,IL,40.114285,-88.181229,2002-01-11
Liquified Petroleum Gas,Hicksgas,1704 Veterans Ave,Vandalia,IL,38.976227,-89.113837,2002-01-11
Liquified Petroleum Gas,Hicksgas,1620 E Walnut St,Watseka,IL,40.775553,-87.700541,2002-01-11
Liquified Petroleum Gas,Hicksgas,1023 Lake Ave,Woodstock,IL,42.302938,-88.431897,2002-01-11
Compressed Natural Gas,Village of Downers Grove,5101 Walnut Ave,Downers Grove,IL,41.793467,-88.051732,2001-01-01
Liquified Petroleum Gas,Blackhawk Propane,1000 Doner Dr,South Beloit,IL,42.48629,-89.045448,2003-11-05
Ethanol Fuel,BP - Becker's,10 E Northbrook Dr,Dwight,IL,41.112992,-88.412481,2003-10-15
Ethanol Fuel,Illinois State CMS Garage,200 E Ash,Springfield,IL,39.779213,-89.652986,2004-11-15
Ethanol Fuel,Qik-n-EZ #62,1607 Morrissey Dr,Bloomington,IL,40.458468,-88.970711,2005-03-15
Ethanol Fuel,Fuel 24,1200 N Cheney St,Taylorville,IL,39.561728,-89.306125,2005-08-15
Ethanol Fuel,Qik-n-EZ #50,2800 N Peoria Rd,Springfield,IL,39.839128,-89.633696,2006-09-15
Ethanol Fuel,Qik-n-EZ #53,615 N Cedar St,Shelbyville,IL,39.412428,-88.806851,2005-04-15
Ethanol Fuel,Argonne National Laboratory,9700 S. Cass Avenue,Lemont,IL,41.71298,-87.960781,2005-04-15
Ethanol Fuel,Fermi National Accelerator Laboratory - Fuel Service Center,Kirk Rd & Wilson St,Batavia,IL,41.84901,-88.2594,2005-04-15
Ethanol Fuel,Naval Station Great Lakes,2415 Spaulding St,Great Lakes,IL,42.317212,-87.851241,2005-04-15
Ethanol Fuel,Road Ranger #237,909 E Roosevelt Rd,Lombard,IL,41.860475,-87.994817,2005-05-15
Ethanol Fuel,Phillips 66 - Apollo Mart,2136 S Airport Rd,Bartonville,IL,40.66394,-89.679796,2005-09-15
Ethanol Fuel,Albion Knapp Mart,4th St & Elm St,Albion,IL,38.378522,-88.378522,2005-06-15
Ethanol Fuel,Central City Knapp Mart,113 W Green St,Centralia,IL,38.547507,-89.130122,2005-05-15
Ethanol Fuel,Citgo - Cisne Knapp Mart,600 Route 45 S,Cisne,IL,38.515575,-88.434887,2005-05-15
Ethanol Fuel,Knapp Mart - Clay City,943 S Main St,Clay City,IL,38.680794,-88.3541,2005-03-15
Ethanol Fuel,Qik-n-EZ #60,1510 E Vernon Ave,Normal,IL,40.503295,-88.954711,
Ethanol Fuel,Qik-n-EZ #72,1609 N Main St,Normal,IL,40.530365,-88.996595,2005-07-15
Ethanol Fuel,Qik-n-EZ #52,301 S Poplar St,Pana,IL,39.386204,-89.081528,2005-07-15
