Fuel Type Code,Station Name,City,State,ZIP,Latitude,Longitude,Open Date,Access Code
E85,Evergreen FS Farmtown,Bloomington,IL,61704,40.453057,-88.96696,1993-11-15,public
E85,Phillips 66 - Sandy's,Rockford,IL,61109,42.223132,-89.027541,2019-08-30,public
CNG,Springfield Mass Transit District,Springfield,IL,62703,39.792275,-89.642936,1992-06-15,private
LPG,Hicksgas,Roberts,IL,60962,40.6144051,-88.1762632,1999-07-08,public
LPG,Blick & Blick Oil Inc,Aledo,IL,61231,41.200666,-90.74496,1999-07-08,public
LPG,Ferrellgas,Galesburg,IL,61401,40.932053,-90.375206,1999-07-08,public
LPG,United Fuel Co,Rantoul,IL,61866,40.316843,-88.157041,1999-07-08,public
LPG,Rull Brothers Propane,Hardin,IL,62047,39.158963,-90.617327,1999-07-08,public
LPG,Thompson Gas,Swansea,IL,62226,38.52876561,-89.98474234,1999-07-08,public
LPG,Wade Sales & Service Inc,Breese,IL,62230,38.610698,-89.534246,1999-07-08,private
LPG,Harper Propane Service Inc,Mt. Vernon,IL,62864,38.315898,-88.971133,1999-07-08,public
LPG,Southern FS,Carbondale,IL,62901,37.738458,-89.215318,1999-07-08,public
LPG,Ferrellgas,Machesney Park,IL,61115,42.371222,-89.032441,1999-07-08,public
LPG,Pinnacle Propane,Quincy,IL,62301,39.956612,-91.394737,1999-07-08,public
LPG,Boente Shell,Carlinville,IL,62626,39.279495,-89.888411,1999-07-08,public
CNG,Gas Technology Institute,Des Plaines,IL,60018,42.018189,-87.922158,1995-01-15,public
LPG,U-Haul,Des Plaines,IL,60018,42.02364882,-87.92126836,2000-11-01,public
LPG,U-Haul,Evanston,IL,60201,42.041376,-87.703147,2000-11-01,public
LPG,U-Haul,Markham,IL,60428,41.600255,-87.688178,2000-11-01,public
LPG,U-Haul,Chicago,IL,60639,41.911872,-87.746203,2000-11-01,public
LPG,U-Haul,Chicago,IL,60641,41.958921,-87.74721,2000-11-01,public
LPG,U-Haul,Chicago,IL,60649,41.766351,-87.583615,2000-11-01,public
LPG,U-Haul,Cicero,IL,60804,41.850832,-87.750927,2000-11-01,public
LPG,U-Haul,Bloomington,IL,61701,40.491139,-88.994306,2000-11-01,public
LPG,U-Haul,Champaign,IL,61820,40.116631,-88.23472,2000-11-01,public
LPG,U-Haul,Springfield,IL,62702,39.806744,-89.685933,2000-11-01,public
E85,Citgo,Chicago,IL,60613,41.956159,-87.663596,2000-08-15,public
E85,Kean Brothers Oil Co,Chicago,IL,60655,41.691997,-87.687613,2001-01-15,public
LPG,Hicksgas,Braidwood,IL,60408,41.25572,-88.226144,2002-01-11,public
LPG,Hicksgas,Decatur,IL,62526,39.869986,-88.954648,2002-01-11,public
LPG,Hicksgas,Kankakee,IL,60901,41.101504,-87.869992,2002-01-11,public
LPG,Hicksgas,Lake Villa,IL,60046,42.416937,-88.078716,2019-09-23,public
LPG,Hicksgas,Marseilles,IL,61341,41.354657,-88.703976,2002-01-11,public
LPG,Hicksgas,Oakwood,IL,61858,40.114198,-87.8125,2002-01-11,public
LPG,Hicksgas,Pontiac,IL,61764,40.886754,-88.644287,2002-01-11,public
LPG,Hicksgas,Urbana,IL,61802,40.114285,-88.181229,2002-01-11,public
LPG,Hicksgas,Vandalia,IL,62471,38.976227,-89.113837,2002-01-11,public
LPG,Hicksgas,Watseka,IL,60970,40.775553,-87.700541,2002-01-11,public
LPG,Hicksgas,Woodstock,IL,60098,42.302938,-88.431897,2002-01-11,public
CNG,Village of Downers Grove,Downers Grove,IL,60515,41.793467,-88.051732,2001-01-01,private
LPG,Blackhawk Propane,South Beloit,IL,61080,42.48629,-89.045448,2003-11-05,public
E85,BP - Becker's,Dwight,IL,60420,41.112992,-88.412481,2003-10-15,public
E85,Illinois State CMS Garage,Springfield,IL,62704,39.779213,-89.652986,2004-11-15,private
E85,Qik-n-EZ #62,Bloomington,IL,61704,40.458468,-88.970711,2005-03-15,public
E85,Fuel 24,Taylorville,IL,62568,39.561728,-89.306125,2005-08-15,public
E85,Qik-n-EZ #50,Springfield,IL,62702,39.839128,-89.633696,2006-09-15,public
E85,Qik-n-EZ #53,Shelbyville,IL,62565,39.412428,-88.806851,2005-04-15,public
E85,Argonne National Laboratory,Lemont,IL,60439,41.71298,-87.960781,2005-04-15,private
E85,Fermi National Accelerator Laboratory - Fuel Service Center,Batavia,IL,60510,41.84901,-88.2594,2005-04-15,private
E85,Naval Station Great Lakes,Great Lakes,IL,60088,42.317212,-87.851241,2005-04-15,private
E85,Road Ranger #237,Lombard,IL,60148,41.860475,-87.994817,2005-05-15,public
E85,Phillips 66 - Apollo Mart,Bartonville,IL,61607,40.66394,-89.679796,2005-09-15,public
E85,Albion Knapp Mart,Albion,IL,62806,38.378522,-88.378522,2005-06-15,public
E85,Central City Knapp Mart,Centralia,IL,62801,38.547507,-89.130122,2005-05-15,public
E85,Citgo - Cisne Knapp Mart,Cisne,IL,62823,38.515575,-88.434887,2005-05-15,public
E85,Knapp Mart - Clay City,Clay City,IL,62824,38.680794,-88.3541,2005-03-15,public
E85,Qik-n-EZ #60,Normal,IL,61761,40.503295,-88.954711,,public
E85,Qik-n-EZ #72,Normal,IL,61761,40.530365,-88.996595,2005-07-15,public
E85,Qik-n-EZ #52,Pana,IL,62557,39.386204,-89.081528,2005-07-15,public
E85,Fast Stop Fuel 24 - Princeton Gas,Princeton,IL,61356,41.382223,-89.465298,2005-07-15,public
E85,Salem Knapp Mart,Salem,IL,62881,38.623436,-88.945373,2006-10-15,public
E85,Qik-n-EZ #55,Springfield,IL,62703,39.757093,-89.640412,2006-09-15,public
E85,Qik-n-EZ #58,Springfield,IL,62704,39.800091,-89.686464,2006-09-15,public
E85,Qik-n-EZ #61,Springfield,IL,62712,39.713243,-89.637981,2006-09-15,public
E85,Qik-n-EZ #71,Springfield,IL,62702,39.815674,-89.649813,,public
E85,Roc One Stop,Harrisburg,IL,62946,37.741599,-88.530337,2005-07-15,public
E85,Southern FS,Harrisburg,IL,62946,37.723427,-88.540554,2005-07-15,public
E85,Lena Cenex at Noller's Food Pride - Sullivan's,Lena,IL,61048,42.371425,-89.828589,2005-07-15,public
E85,Citgo - Metropolis Knapp Mart,Metropolis,IL,62960,37.145598,-88.717317,2015-08-15,public
E85,Nashville Knapp Mart - Citgo,Nashville,IL,62263,38.375798,-89.371532,2005-08-15,public
E85,Citgo - Stewardson Knapp Mart,Stewardson,IL,62463,39.263708,-88.619175,2005-05-15,public
E85,Sapp Bros Travel Center,Peru,IL,61354,41.366352,-89.151102,2003-08-15,public
E85,Martin's IGA - Midtown Fuels,Effingham,IL,62401,39.121525,-88.548013,2008-07-01,public
E85,The Hometown Express,Geneseo,IL,61254,41.4479804,-90.1605357,2005-12-15,public
E85,Speedway #1417,Oswego,IL,60543,41.687679,-88.338486,2005-06-15,public
E85,Shell - Jiffi Stop #16,Quincy,IL,62301,39.948277,-91.378235,2005-12-15,public
E85,Speedway #1411,Romeoville,IL,60490,41.653589,-88.126517,2005-06-15,public
E85,Cenex Xtramile - Lenny's,Virginia,IL,62691,39.954339,-90.209919,2005-12-15,public
E85,Qik-n-EZ #57,Jacksonville,IL,62650,39.691765,-90.229191,2007-05-15,public
E85,Thorntons #125,Aurora,IL,60504,41.741088,-88.246494,2006-07-15,public
E85,Road Ranger,Rockford,IL,61108,42.238544,-89.033516,2006-02-15,public
E85,South Central FS,Vandalia,IL,62471,38.978067,-89.115262,2006-02-15,public
E85,Speedway #1419,Homer Glen,IL,60491,41.614843,-87.931122,2005-12-15,public
E85,Piatt Service Co,Monticello,IL,61856,40.023427,-88.575339,2005-11-15,public
E85,FS Fast Stop Express,Silvis,IL,61282,41.510946,-90.406297,2020-01-17,public
E85,Citgo - Stockton Travel Center,Stockton,IL,61085,42.357705,-89.999308,2006-03-15,public
E85,Fast Stop Travel Center,Litchfield,IL,62056,39.176047,-89.675175,2006-02-15,public
E85,Blick & Blick Oil Inc,Aledo,IL,61231,41.200666,-90.74496,2006-04-15,public
E85,Shell,Schaumburg,IL,60173,42.041546,-88.060333,2005-06-15,public
E85,Carroll Service Co,Lanark,IL,61046,42.09564674,-89.83950848,2006-06-15,public
E85,Thorntons #351,East Peoria,IL,61611,40.731988,-89.520297,2006-08-15,public
E85,Gibson City Fuel 24,Gibson City,IL,60936,40.456881,-88.369153,2007-01-15,public
E85,Riverland Fast Stop,Oquawka,IL,61469,40.923711,-90.864261,2012-11-30,public
E85,Thorntons #364,Ottawa,IL,61350,41.372708,-88.836283,2006-08-15,public
E85,Minuteman Riverside,Riverside,IL,60546,41.841137,-87.803505,2006-08-15,public
LPG,Ferrellgas,Rock Island,IL,61201,41.443053,-90.60959,2006-10-09,public
E85,Woodman's Grocery,North Aurora,IL,60542,41.804458,-88.371594,2007-01-15,public
E85,Shell - Express Lane #9,Rock Falls,IL,61071,41.7706139,-89.70491772,2007-02-15,public
E85,Shell,Skokie,IL,60076,42.018572,-87.71161,2007-02-15,public
E85,BP - Monroe Center,Monroe Center,IL,61052,42.101168,-89.017255,2007-03-15,public
E85,Shell - Circle K,Crystal Lake,IL,60014,42.227867,-88.328527,2007-06-15,public
E85,Citgo - Aisha Wash and Fuel Island,Chicago,IL,60639,41.930943,-87.765779,2007-09-15,public
E85,Fairview Quick Stop,Fairview,IL,61432,40.642621,-90.163751,2007-10-15,public
E85,Meijer Gas #176,Springfield,IL,62711,39.735916,-89.704303,2007-10-15,public
E85,Meijer Gas #207,Normal,IL,61761,40.510825,-88.948469,2007-11-15,public
E85,Grainco FS,Yorkville,IL,61560,41.602711,-88.436269,2007-10-15,public
E85,Mobil - North Damen Mart,Chicago,IL,60618,41.932702,-87.67812,2008-03-15,public
E85,Mobil - Midway,Chicago,IL,60652,41.744262,-87.72134,2008-05-15,public
E85,City of Chicago FS#6,Chicago,IL,60617,41.710606,-87.623157,2008-06-15,private
E85,City of Chicago FS#5,Chicago,IL,60630,41.962551,-87.748808,2008-06-15,private
E85,City of Chicago FS#3,Chicago,IL,60624,41.889066,-87.732603,2008-06-15,private
